"Tissue","cell_type","Category","change","TF","Pval","mid_Variability","old_Variability"
"Pancreas","Acinar Cells","old vs mid","DECREASE","TFAP2D_2",0.00219230008148053,0.511732811248743,0.566933266003386
"Pancreas","Acinar Cells","old vs mid","DECREASE","WT1_266",7.25437497018398e-07,0.367832490714616,0.36608654103307
"Pancreas","Acinar Cells","old vs mid","DECREASE","ZBTB7A_258",0.0212715922736298,0.443839814965477,0.435573159752849
"Pancreas","Acinar Cells","old vs mid","DECREASE","ZFX_158",0.00267546947265611,0.436535997035888,0.444410001991703
"Pancreas","Acinar Cells","old vs mid","DECREASE","ZIC5_210",0.031095675818498,1.13207612293243,1.13887887915979
"Pancreas","Acinar Cells","old vs mid","DECREASE","ZNF148_222",4.37018679070614e-05,0.386954010656257,0.409239182241704
"Pancreas","Acinar Cells","old vs mid","DECREASE","ZNF219_229",0.0403645392967605,0.72078745669551,0.744061145160556
"Pancreas","Acinar Cells","old vs mid","DECREASE","ZNF263_159",0.0033189445755261,0.486945225023911,0.486868683979397
"Pancreas","Acinar Cells","old vs mid","DECREASE","ZNF281_221",0.0101882595439313,0.888807829680471,0.947050607082376
"Pancreas","Acinar Cells","old vs mid","DECREASE","ZNF384_202",0.0327642325685378,0.8829822290885,0.910769621754508
"Pancreas","Acinar Cells","old vs mid","INCREASE","ASCL1_843",0.0204408993600238,1.10543030990493,1.23834766099619
"Pancreas","Acinar Cells","old vs mid","INCREASE","BACH1_130",5.18203092007228e-22,2.14532817620625,4.60235277587206
"Pancreas","Acinar Cells","old vs mid","INCREASE","BACH2_113",5.98411595060319e-15,1.69960765592225,3.64788929951084
"Pancreas","Acinar Cells","old vs mid","INCREASE","BATF_129",0.00264484362685436,1.1887380198872,1.71062876550165
"Pancreas","Acinar Cells","old vs mid","INCREASE","EBF1_67",0.0173780082874938,1.14173888704341,1.21560222405695
"Pancreas","Acinar Cells","old vs mid","INCREASE","ELF2_326",0.00549794005063592,0.906626203016701,0.898633473803795
"Pancreas","Acinar Cells","old vs mid","INCREASE","ENSG00000187728_92",0.0476540701725134,1.01457533510093,1.12581578280987
"Pancreas","Acinar Cells","old vs mid","INCREASE","FOS_137",1.07969228970169e-26,2.29782967292388,5.54930136155469
"Pancreas","Acinar Cells","old vs mid","INCREASE","FOSB_121",5.31618395073963e-13,1.76374282731444,3.46709373484509
"Pancreas","Acinar Cells","old vs mid","INCREASE","FOSL1_142",2.78933065633998e-29,2.33289981188403,5.5917817587247
"Pancreas","Acinar Cells","old vs mid","INCREASE","FOSL2_105",3.16883772718151e-28,2.37874865704305,5.71534128795438
"Pancreas","Acinar Cells","old vs mid","INCREASE","GCM1_390",0.0415719120675218,1.17039491220359,1.21359346482632
"Pancreas","Acinar Cells","old vs mid","INCREASE","GLI1_186",0.0413904358845834,1.15351414845935,1.16724842773078
"Pancreas","Acinar Cells","old vs mid","INCREASE","GLI3_182",0.0474241985260245,1.14450180887313,1.09824011425738
"Pancreas","Acinar Cells","old vs mid","INCREASE","HAND1_33",0.0208881510802339,1.04123530871567,1.06708143252064
"Pancreas","Acinar Cells","old vs mid","INCREASE","HAND2_66",0.0208881510802339,1.04123530871567,1.06708143252064
"Pancreas","Acinar Cells","old vs mid","INCREASE","JDP2_125",1.9783357541434e-15,2.16346486155759,4.81953512441657
"Pancreas","Acinar Cells","old vs mid","INCREASE","JUN_143",8.83893621739408e-28,2.32050282969798,5.54492214843083
"Pancreas","Acinar Cells","old vs mid","INCREASE","JUNB_139",8.15267256224041e-28,2.39381356142641,5.86699632203099
"Pancreas","Acinar Cells","old vs mid","INCREASE","JUND_124",5.12743306888262e-27,2.39356293689125,5.44776615001097
"Pancreas","Acinar Cells","old vs mid","INCREASE","KLF3_184",0.00466874334392019,1.13384691585734,1.17214404353826
"Pancreas","Acinar Cells","old vs mid","INCREASE","MAFA_146",0.031571847762703,0.977260925939948,0.989662392009891
"Pancreas","Acinar Cells","old vs mid","INCREASE","MAFF_147",0.0315282597595519,1.14387488219956,1.20548067677021
"Pancreas","Acinar Cells","old vs mid","INCREASE","MAFK_149",0.00218574754868693,1.10526657176483,1.22050925727385
"Pancreas","Acinar Cells","old vs mid","INCREASE","MITF_91",0.00601035328050242,1.02127833686389,1.16182750491174
"Pancreas","Acinar Cells","old vs mid","INCREASE","MYB_648",0.030157823836532,0.992009094801426,0.993481153947857
"Pancreas","Acinar Cells","old vs mid","INCREASE","MYOG_41",0.00532108259266794,1.06692223925451,1.1334906786052
"Pancreas","Acinar Cells","old vs mid","INCREASE","NEUROD1_63",0.037523211390275,1.19458260454738,1.27731336818876
"Pancreas","Acinar Cells","old vs mid","INCREASE","NFE2_119",8.64370626426206e-06,1.2124553715087,1.80103937738943
"Pancreas","Acinar Cells","old vs mid","INCREASE","NFE2L2_115",0.000108542544930683,1.17604958808013,1.42494226121458
"Pancreas","Acinar Cells","old vs mid","INCREASE","NFIA_742",0.0116815372986132,1.14691962427183,1.28008447001671
"Pancreas","Acinar Cells","old vs mid","INCREASE","NFIB_741",0.0353834356814722,1.16009316596181,1.28364148002644
"Pancreas","Acinar Cells","old vs mid","INCREASE","NFIC_740",0.0030095391688732,0.822417739092699,0.986083839350172
"Pancreas","Acinar Cells","old vs mid","INCREASE","NFIX_738",0.0302064717004684,1.23578848837077,1.39209550174996
"Pancreas","Acinar Cells","old vs mid","INCREASE","NHLH2_80",0.0451336025340956,1.04985282644938,1.13790821883322
"Pancreas","Acinar Cells","old vs mid","INCREASE","NKX21_476",0.00760326276940181,1.09533792683737,1.11572672129913
"Pancreas","Acinar Cells","old vs mid","INCREASE","NR2C1_670",0.00560015438761557,1.14479709526589,1.13049539982601
"Pancreas","Acinar Cells","old vs mid","INCREASE","PAX9_710",0.00439642835287889,1.06708962538544,1.06514080541348
"Pancreas","Acinar Cells","old vs mid","INCREASE","PPARD_664",0.0156675107010815,1.01505551745258,1.10762180298034
"Pancreas","Acinar Cells","old vs mid","INCREASE","REST_168",0.0349864598452017,1.10200064267179,1.12179691184061
"Pancreas","Acinar Cells","old vs mid","INCREASE","RFX2_724",0.0359666509346148,0.895102973600736,0.946779825400302
"Pancreas","Acinar Cells","old vs mid","INCREASE","SMAD1_744",0.000448022680412866,1.07840556977588,1.16550304179891
"Pancreas","Acinar Cells","old vs mid","INCREASE","SMAD2_745",0.00921085615448421,1.08050245597187,1.09973590209007
"Pancreas","Acinar Cells","old vs mid","INCREASE","SMARCC1_651",1.23737118993536e-29,2.30140443922012,5.39667014101788
"Pancreas","Acinar Cells","old vs mid","INCREASE","SNAI2_161",0.0374196740336664,1.135721436875,1.28509088171799
"Pancreas","Acinar Cells","old vs mid","INCREASE","TBX10_791",0.031871316270228,1.13551012450492,1.09991368169976
"Pancreas","Acinar Cells","old vs mid","INCREASE","TBX15_782",0.000820729417178977,1.03212690458055,1.06105344967117
"Pancreas","Acinar Cells","old vs mid","INCREASE","TBX18_869",0.000820729417178977,1.03212690458055,1.06105344967117
"Pancreas","Acinar Cells","old vs mid","INCREASE","TBX22_870",0.000820729417178977,1.03212690458055,1.06105344967117
"Pancreas","Acinar Cells","old vs mid","INCREASE","TCF21_39",0.0476540701725134,1.01457533510093,1.12581578280987
"Pancreas","Acinar Cells","old vs mid","INCREASE","TFAP2C_3",0.00833873168908596,0.953694223831043,1.03339978851643
"Pancreas","Acinar Cells","old vs mid","INCREASE","TFAP4_23",0.00231579440322508,1.06774923240413,1.15756083130861
"Pancreas","Acinar Cells","old vs mid","INCREASE","TFCP2L1_858",0.0286813771266847,0.949167685212657,0.965410882894128
"Pancreas","Acinar Cells","old vs mid","INCREASE","THRA_672",0.0333964265986625,1.15161530796412,1.09839954995316
"Pancreas","Acinar Cells","old vs mid","INCREASE","THRB_684",0.0360246690711487,1.14450562336254,1.10099335173808
"Pancreas","Acinar Cells","old vs mid","INCREASE","TP63_704",0.000187025144947181,1.07175518702065,1.15420494591865
"Pancreas","Acinar Cells","old vs mid","INCREASE","TP73_705",0.000581969198981764,1.06796486529179,1.14588103991715
"Pancreas","Acinar Cells","old vs mid","INCREASE","TWIST1_42",0.0320110559153497,1.19447628732337,1.24117643091524
"Pancreas","Acinar Cells","old vs mid","INCREASE","TWIST2_101",0.0184204400100251,1.16703659187497,1.15439834665831
"Pancreas","Acinar Cells","old vs mid","INCREASE","UBP1_393",0.00477199522026884,0.964617340690115,1.04403973826391
"Pancreas","Acinar Cells","old vs mid","INCREASE","ZBTB42_261",0.00780009693716501,1.07336025666082,1.16601080778461
"Pancreas","Acinar Cells","old vs mid","INCREASE","ZFHX3_483",0.0276057785622035,1.02104190246951,1.03038771021163
"Pancreas","Acinar Cells","old vs mid","INCREASE","ZIC3_215",0.0157144794728065,1.24261981448473,1.32498040625646
"Pancreas","Acinar Cells","old vs mid","INCREASE","ZNF238_260",0.00780009693716501,1.07336025666082,1.16601080778461
"Pancreas","Acinar Cells","old vs mid","INCREASE","ZNF274_244",0.00337987002861989,1.10105190885443,1.08777264350387
"Pancreas","Acinar Cells","old vs mid","INCREASE","ZNF354C_256",0.0319521436480822,1.02823799167297,1.01314145350191
"Pancreas","Ductal Cells","old vs mid","DECREASE","AR_689",0.0041257223711672,1.00433024538248,1.07930350926762
"Pancreas","Ductal Cells","old vs mid","DECREASE","ATF5_136",0.0280091545538292,1.0205911131079,0.958323427868519
"Pancreas","Ductal Cells","old vs mid","DECREASE","ATOH8_71",0.024344451836922,1.37195125349578,1.34549421372426
"Pancreas","Ductal Cells","old vs mid","DECREASE","BACH2_113",0.0250034536169643,1.59633734724047,1.86242002833529
"Pancreas","Ductal Cells","old vs mid","DECREASE","BCL11A_194",0.000116761589903801,0.961968786604181,0.945760104140779
"Pancreas","Ductal Cells","old vs mid","DECREASE","BCL11B_825",0.000116761589903801,0.961968786604181,0.945760104140779
"Pancreas","Ductal Cells","old vs mid","DECREASE","BCL6B_218",0.0453732616937941,0.996994175508993,1.01866156750227
"Pancreas","Ductal Cells","old vs mid","DECREASE","CIC_749",0.0414190372622101,0.985908842575822,1.06916174722038
"Pancreas","Ductal Cells","old vs mid","DECREASE","EBF1_67",0.0271268896051693,1.38550722523758,1.23290559988252
"Pancreas","Ductal Cells","old vs mid","DECREASE","ELF2_326",0.0356122980942762,0.807476696109014,0.918537882508236
"Pancreas","Ductal Cells","old vs mid","DECREASE","ESR1_661",0.00563248443171473,1.12201012508704,1.17006947059013
"Pancreas","Ductal Cells","old vs mid","DECREASE","FERD3L_58",0.0453732616937941,1.10979097656959,1.14052564724279
"Pancreas","Ductal Cells","old vs mid","DECREASE","FIGLA_88",0.00893922770479138,1.13880738634203,1.27890613474621
"Pancreas","Ductal Cells","old vs mid","DECREASE","GLI1_186",0.00446477934112996,1.07886002851157,1.21587118073296
"Pancreas","Ductal Cells","old vs mid","DECREASE","GLIS3_183",0.0344508546286579,1.10474315726992,1.18083888451972
"Pancreas","Ductal Cells","old vs mid","DECREASE","HLTF_802",0.0276885364129124,1.09373655187607,1.02153295980931
"Pancreas","Ductal Cells","old vs mid","DECREASE","HMGA2_13",0.0185866020268854,1.03735653917667,0.956528592112766
"Pancreas","Ductal Cells","old vs mid","DECREASE","HNF4A_662",0.00134617028553561,1.17714234536103,1.16159698682743
"Pancreas","Ductal Cells","old vs mid","DECREASE","HNF4G_688",0.000488539855931936,1.20226011208575,1.24555120507092
"Pancreas","Ductal Cells","old vs mid","DECREASE","HOXB4_549",0.0261697756797007,1.1344235592824,0.993946533197302
"Pancreas","Ductal Cells","old vs mid","DECREASE","HOXB9_529",0.0326888769247272,1.03838674944787,0.980070925715559
"Pancreas","Ductal Cells","old vs mid","DECREASE","IRF4_632",0.0125169927303172,1.04861084109712,1.02182602098379
"Pancreas","Ductal Cells","old vs mid","DECREASE","KLF1_179",0.000293832614867281,0.965041088601818,1.0001883622631
"Pancreas","Ductal Cells","old vs mid","DECREASE","KLF12_191",0.00951699848112944,0.955469559658387,1.0432462242142
"Pancreas","Ductal Cells","old vs mid","DECREASE","KLF15_223",0.018113400926196,0.570238651195159,0.562483263917797
"Pancreas","Ductal Cells","old vs mid","DECREASE","KLF3_184",1.56098956545506e-05,1.0780664219924,1.1621211401635
"Pancreas","Ductal Cells","old vs mid","DECREASE","KLF5_175",0.013430741797949,0.449777970828624,0.498314029938432
"Pancreas","Ductal Cells","old vs mid","DECREASE","MAF_144",0.0132190425344172,0.907838219479408,1.00718249708829
"Pancreas","Ductal Cells","old vs mid","DECREASE","MAZ_178",0.00565978586242697,0.438212503167823,0.444834902862981
"Pancreas","Ductal Cells","old vs mid","DECREASE","MEIS2_471",0.0195433945577539,1.1763319451328,1.18322690530999
"Pancreas","Ductal Cells","old vs mid","DECREASE","MZF1_171",0.00065508853693861,1.01177717747527,1.04799781457738
"Pancreas","Ductal Cells","old vs mid","DECREASE","NFIC_740",0.0395730933929362,1.05185469333381,0.944050982927144
"Pancreas","Ductal Cells","old vs mid","DECREASE","NFKB1_719",0.0434210178786028,1.87874930302475,2.0494237846881
"Pancreas","Ductal Cells","old vs mid","DECREASE","NFKB2_714",0.0061787411298544,1.58868051273998,1.53549063628906
"Pancreas","Ductal Cells","old vs mid","DECREASE","NR1H2_674",0.00530762217642645,1.00329293579989,1.07122225897621
"Pancreas","Ductal Cells","old vs mid","DECREASE","NR1H3_656",0.00530762217642645,1.00329293579989,1.07122225897621
"Pancreas","Ductal Cells","old vs mid","DECREASE","NR1H4_655",0.0167996409548481,1.09766708657616,1.21798426814458
"Pancreas","Ductal Cells","old vs mid","DECREASE","NR2C1_670",0.0367113199687964,1.07492598610569,1.19158917264551
"Pancreas","Ductal Cells","old vs mid","DECREASE","NR2F1_692",0.046805835289682,1.02361230728924,1.1980267653502
"Pancreas","Ductal Cells","old vs mid","DECREASE","NR2F6_687",0.0148013047302082,1.13115738813189,1.07739796127638
"Pancreas","Ductal Cells","old vs mid","DECREASE","NR3C1_666",0.00421696503428582,1.04316594962989,1.12583578155903
"Pancreas","Ductal Cells","old vs mid","DECREASE","NR5A1_677",0.0257454211192646,1.14396372025183,1.26741508959402
"Pancreas","Ductal Cells","old vs mid","DECREASE","NR5A2_667",0.0405415174406503,1.13444949620586,1.26985416162088
"Pancreas","Ductal Cells","old vs mid","DECREASE","NR6A1_683",0.0108243044760913,1.19343422292747,1.21879979621635
"Pancreas","Ductal Cells","old vs mid","DECREASE","PGR_660",0.0282487997491571,0.970033367625916,1.0530188432972
"Pancreas","Ductal Cells","old vs mid","DECREASE","PKNOX1_497",0.0165844090127756,1.1090226400216,1.26638178246094
"Pancreas","Ductal Cells","old vs mid","DECREASE","PKNOX2_513",0.0365005997070862,1.09066360912891,1.24527482627445
"Pancreas","Ductal Cells","old vs mid","DECREASE","PLAG1_264",0.00706805629700248,0.946881239863535,0.990715850788212
"Pancreas","Ductal Cells","old vs mid","DECREASE","PPARD_664",0.0269215462407529,1.07947046744495,1.12170704856999
"Pancreas","Ductal Cells","old vs mid","DECREASE","REL_721",0.0466659380314289,1.69795584244421,1.90199109111753
"Pancreas","Ductal Cells","old vs mid","DECREASE","RXRA_695",0.00474351196085696,1.14909104879549,1.12862196268336
"Pancreas","Ductal Cells","old vs mid","DECREASE","RXRB_698",0.00662521535902583,1.12075903717727,1.10757721521283
"Pancreas","Ductal Cells","old vs mid","DECREASE","RXRG_679",0.0117543873986156,1.1472699849328,1.14418902958383
"Pancreas","Ductal Cells","old vs mid","DECREASE","SCXA_96",0.0293900280117115,1.15119374260482,1.09931296345966
"Pancreas","Ductal Cells","old vs mid","DECREASE","SCXB_93",0.0293900280117115,1.15119374260482,1.09931296345966
"Pancreas","Ductal Cells","old vs mid","DECREASE","SMAD1_744",0.00892894196064983,1.0877191453684,1.1245827540441
"Pancreas","Ductal Cells","old vs mid","DECREASE","SMAD2_745",0.0418504372666927,1.1546634658647,1.0767733345878
"Pancreas","Ductal Cells","old vs mid","DECREASE","SNAI1_199",0.0260855501186891,1.42537610756543,1.26188218476242
"Pancreas","Ductal Cells","old vs mid","DECREASE","SNAI2_161",0.0269711832649494,1.22849378423273,1.20850004501623
"Pancreas","Ductal Cells","old vs mid","DECREASE","SPI1_322",0.0366268862758784,0.92592943919356,0.856226734521058
"Pancreas","Ductal Cells","old vs mid","DECREASE","SREBF2_99",0.0110713352042552,1.12499346735783,1.16081269427511
"Pancreas","Ductal Cells","old vs mid","DECREASE","STAT2_778",0.0184969447784051,0.93177048979319,0.925350604958677
"Pancreas","Ductal Cells","old vs mid","DECREASE","STAT3_777",0.026736219619998,0.973418297762887,0.983202469936526
"Pancreas","Ductal Cells","old vs mid","DECREASE","STAT5A_774",0.0392735355646725,1.01586058079034,0.983402182578095
"Pancreas","Ductal Cells","old vs mid","DECREASE","STAT6_776",0.00606177762046695,1.13229645016195,0.956514360167872
"Pancreas","Ductal Cells","old vs mid","DECREASE","TCF12_56",0.0199756076844271,1.21315428811207,1.09390772080135
"Pancreas","Ductal Cells","old vs mid","DECREASE","TCF15_46",0.0293900280117115,1.15119374260482,1.09931296345966
"Pancreas","Ductal Cells","old vs mid","DECREASE","TCF7_750",0.00835218297412602,0.963811971118124,1.05260444933366
"Pancreas","Ductal Cells","old vs mid","DECREASE","TFAP2C_3",0.000886135223659499,0.956881083369315,1.02768325204354
"Pancreas","Ductal Cells","old vs mid","DECREASE","TFAP4_23",0.00651928549134065,0.993681858399967,1.05558951557152
"Pancreas","Ductal Cells","old vs mid","DECREASE","TLX1_425",0.0332966085206881,0.956138549537336,0.976990672843091
"Pancreas","Ductal Cells","old vs mid","DECREASE","TLX3_505",0.0332966085206881,0.956138549537336,0.976990672843091
"Pancreas","Ductal Cells","old vs mid","DECREASE","ZEB1_157",0.00870362157373819,1.17489889789036,1.25131073759422
"Pancreas","Ductal Cells","old vs mid","DECREASE","ZNF740_209",0.0352046474889421,0.966536498339649,0.971945481760601
"Pancreas","Ductal Cells","old vs mid","INCREASE","AL5921702_588",0.0216222059671188,0.91326196386329,0.914651901366201
"Pancreas","Ductal Cells","old vs mid","INCREASE","AL6628305_600",0.0452793308387169,0.953170283187672,0.887945313086108
"Pancreas","Ductal Cells","old vs mid","INCREASE","AL6628334_838",0.00260375429893874,1.01172679910903,0.957399081892252
"Pancreas","Ductal Cells","old vs mid","INCREASE","AL66283413_287",0.0213796208950223,1.11869411190867,1.03675926494573
"Pancreas","Ductal Cells","old vs mid","INCREASE","AL7735441_836",0.00260375429893874,1.01172679910903,0.957399081892252
"Pancreas","Ductal Cells","old vs mid","INCREASE","AL8448538_281",0.0213796208950223,1.11869411190867,1.03675926494573
"Pancreas","Ductal Cells","old vs mid","INCREASE","AL8454643_566",0.0452793308387169,0.953170283187672,0.887945313086108
"Pancreas","Ductal Cells","old vs mid","INCREASE","ALX4_401",0.0364921961009471,1.02460715196154,0.922262599793686
"Pancreas","Ductal Cells","old vs mid","INCREASE","ARID3A_6",0.0033558303695328,0.658742719891524,0.64144328991994
"Pancreas","Ductal Cells","old vs mid","INCREASE","ARID3C_10",0.0328927360480647,0.807679175124816,0.879382024626203
"Pancreas","Ductal Cells","old vs mid","INCREASE","ARID5A_9",0.00456036915951296,0.832672738808801,0.908037581362679
"Pancreas","Ductal Cells","old vs mid","INCREASE","BX0885802_840",0.00260375429893874,1.01172679910903,0.957399081892252
"Pancreas","Ductal Cells","old vs mid","INCREASE","BX2846861_573",0.0452793308387169,0.953170283187672,0.887945313086108
"Pancreas","Ductal Cells","old vs mid","INCREASE","BX9272396_589",0.0452793308387169,0.953170283187672,0.887945313086108
"Pancreas","Ductal Cells","old vs mid","INCREASE","CDC5L_646",0.000630957344480193,0.945107466930002,0.933761057943735
