"Tissue","group","cell_type","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","isTissuespecific","isCellTypespecific"
"921","Bladder","old vs mid","myo-CAFs cell","JUN",2.35e-132,1.653660114,0.958,0.693,4.01e-128,"UP",FALSE,FALSE
"922","Bladder","old vs mid","myo-CAFs cell","ISYNA1",9e-128,1.246389933,0.59,0.103,1.54e-123,"UP",FALSE,TRUE
"923","Bladder","old vs mid","myo-CAFs cell","FGL2",4.07e-123,-1.230281803,0.02,0.357,6.94e-119,"DOWN",FALSE,TRUE
"924","Bladder","old vs mid","myo-CAFs cell","TOB1",5.01e-123,1.528064445,0.638,0.162,8.54e-119,"UP",FALSE,FALSE
"925","Bladder","old vs mid","myo-CAFs cell","HSPB6",5.45e-123,-1.400755315,0.532,0.799,9.29e-119,"DOWN",FALSE,TRUE
"926","Bladder","old vs mid","myo-CAFs cell","MT1A",8.6e-121,2.095446524,0.551,0.086,1.47e-116,"UP",FALSE,TRUE
"927","Bladder","old vs mid","myo-CAFs cell","NRGN",6.61e-120,1.218797514,0.482,0.046,1.13e-115,"UP",FALSE,TRUE
"928","Bladder","old vs mid","myo-CAFs cell","TES",1.1e-118,-1.211456098,0.06,0.42,1.87e-114,"DOWN",FALSE,TRUE
"929","Bladder","old vs mid","myo-CAFs cell","MGST1",1.41e-118,-1.371794533,0.038,0.384,2.41e-114,"DOWN",FALSE,FALSE
"930","Bladder","old vs mid","myo-CAFs cell","PDGFRB",1.53e-118,1.298425571,0.594,0.12,2.61e-114,"UP",FALSE,TRUE
"931","Bladder","old vs mid","myo-CAFs cell","VASN",2.94e-117,1.214785645,0.571,0.106,5.01e-113,"UP",FALSE,TRUE
"932","Bladder","old vs mid","myo-CAFs cell","IER5L",7.71e-117,1.198810612,0.503,0.063,1.31e-112,"UP",TRUE,FALSE
"933","Bladder","old vs mid","myo-CAFs cell","HES1",4.85e-115,1.490816147,0.768,0.304,8.28e-111,"UP",FALSE,FALSE
"934","Bladder","old vs mid","myo-CAFs cell","APOLD1",9.31e-114,1.410347098,0.492,0.061,1.59e-109,"UP",FALSE,TRUE
"935","Bladder","old vs mid","myo-CAFs cell","RGS5",1.33e-113,2.047956158,0.823,0.653,2.27e-109,"UP",FALSE,FALSE
"936","Bladder","old vs mid","myo-CAFs cell","NTRK2",1.68e-111,1.145874557,0.52,0.08,2.87e-107,"UP",FALSE,TRUE
"937","Bladder","old vs mid","myo-CAFs cell","CSTB",1.97e-111,-1.249869826,0.519,0.673,3.36e-107,"DOWN",FALSE,FALSE
"938","Bladder","old vs mid","myo-CAFs cell","ITGB1",1.51e-110,-1.038824777,0.832,0.928,2.57e-106,"DOWN",FALSE,TRUE
"939","Bladder","old vs mid","myo-CAFs cell","CPM",3.02e-109,1.249607547,0.444,0.041,5.14e-105,"UP",FALSE,TRUE
"940","Bladder","old vs mid","myo-CAFs cell","S100A11",3.88e-109,-1.29056114,0.813,0.851,6.61e-105,"DOWN",FALSE,FALSE
"941","Bladder","old vs mid","myo-CAFs cell","PGF",2.5e-108,1.244167188,0.465,0.053,4.26e-104,"UP",FALSE,TRUE
"942","Bladder","old vs mid","myo-CAFs cell","JUND",5.54e-108,1.172618649,0.909,0.595,9.45e-104,"UP",FALSE,FALSE
"943","Bladder","old vs mid","myo-CAFs cell","COX4I2",3.45e-106,1.238308653,0.482,0.064,5.88e-102,"UP",FALSE,TRUE
"944","Bladder","old vs mid","myo-CAFs cell","CCDC3",4.69e-106,1.057436944,0.507,0.08,8e-102,"UP",FALSE,TRUE
"945","Bladder","old vs mid","myo-CAFs cell","MAFF",2.47e-105,1.254441502,0.779,0.348,4.21e-101,"UP",FALSE,FALSE
"946","Bladder","old vs mid","myo-CAFs cell","CEBPD",9.31e-105,1.276531479,0.931,0.782,1.59e-100,"UP",FALSE,FALSE
"947","Bladder","old vs mid","myo-CAFs cell","PITX1",3.13e-104,-1.150719111,0.092,0.398,5.33e-100,"DOWN",FALSE,FALSE
"948","Bladder","old vs mid","myo-CAFs cell","LMNA",2.69e-103,1.094442371,0.952,0.74,4.58e-99,"UP",FALSE,FALSE
"949","Bladder","old vs mid","myo-CAFs cell","SOCS3",7.37e-101,1.432467427,0.851,0.49,1.26e-96,"UP",FALSE,FALSE
"950","Bladder","old vs mid","myo-CAFs cell","CKB",2.05e-100,-1.35707318,0.573,0.831,3.5e-96,"DOWN",FALSE,TRUE
"951","Bladder","old vs mid","myo-CAFs cell","CDKN1A",9.36e-99,1.042753668,0.935,0.75,1.6e-94,"UP",FALSE,TRUE
"952","Bladder","old vs mid","myo-CAFs cell","CSRNP1",7.55e-97,1.105691453,0.671,0.233,1.29e-92,"UP",FALSE,TRUE
"953","Bladder","old vs mid","myo-CAFs cell","COL18A1",5.71e-96,1.10130673,0.694,0.26,9.74e-92,"UP",FALSE,TRUE
"954","Bladder","old vs mid","myo-CAFs cell","HSPA1A",1.08e-95,1.664020407,0.799,0.407,1.85e-91,"UP",FALSE,FALSE
"955","Bladder","old vs mid","myo-CAFs cell","MYH11",1.37e-95,-1.108382521,0.872,0.896,2.34e-91,"DOWN",FALSE,FALSE
"956","Bladder","old vs mid","myo-CAFs cell","PDLIM4",1.44e-95,-1.11715289,0.179,0.477,2.45e-91,"DOWN",FALSE,TRUE
"957","Bladder","old vs mid","myo-CAFs cell","EPS8",3.51e-95,1.132713809,0.638,0.209,5.98e-91,"UP",FALSE,TRUE
"958","Bladder","old vs mid","myo-CAFs cell","S100P",8.28e-95,-2.417916426,0.272,0.474,1.41e-90,"DOWN",FALSE,FALSE
"959","Bladder","old vs mid","myo-CAFs cell","LITAF",2.17e-94,1.060975577,0.835,0.478,3.7e-90,"UP",FALSE,TRUE
"960","Bladder","old vs mid","myo-CAFs cell","RERGL",4e-93,1.170857155,0.445,0.064,6.82e-89,"UP",FALSE,TRUE
"961","Bladder","old vs mid","myo-CAFs cell","PDGFA",4.08e-93,1.165412477,0.526,0.115,6.96e-89,"UP",FALSE,TRUE
"962","Bladder","old vs mid","myo-CAFs cell","KLF4",1.02e-91,1.460784243,0.644,0.238,1.73e-87,"UP",FALSE,FALSE
"963","Bladder","old vs mid","myo-CAFs cell","SPINT2",1.72e-90,-1.060613834,0.063,0.354,2.94e-86,"DOWN",FALSE,FALSE
"964","Bladder","old vs mid","myo-CAFs cell","CDC42EP3",2.58e-90,-1.074644154,0.096,0.375,4.39e-86,"DOWN",FALSE,TRUE
"965","Bladder","old vs mid","myo-CAFs cell","ID2",5.2e-90,1.682481456,0.72,0.323,8.86e-86,"UP",FALSE,FALSE
"966","Bladder","old vs mid","myo-CAFs cell","BTG2",2.15e-88,1.029041145,0.895,0.61,3.67e-84,"UP",FALSE,FALSE
"967","Bladder","old vs mid","myo-CAFs cell","DPYSL3",1.12e-86,-1.046336114,0.146,0.448,1.91e-82,"DOWN",FALSE,TRUE
"968","Bladder","old vs mid","myo-CAFs cell","HSPA8",1.21e-86,1.090915135,0.869,0.58,2.06e-82,"UP",FALSE,FALSE
"969","Bladder","old vs mid","myo-CAFs cell","NR4A3",5.4e-84,1.076142581,0.571,0.169,9.2e-80,"UP",FALSE,TRUE
"970","Bladder","old vs mid","myo-CAFs cell","COL1A1",1.25e-83,-2.117531866,0.488,0.588,2.13e-79,"DOWN",FALSE,FALSE
"971","Bladder","old vs mid","myo-CAFs cell","RAMP1",1.5e-83,-1.104082476,0.511,0.736,2.56e-79,"DOWN",FALSE,FALSE
"972","Bladder","old vs mid","myo-CAFs cell","PLA2G2A",1.99e-83,-2.520234103,0.156,0.421,3.4e-79,"DOWN",FALSE,FALSE
"973","Bladder","old vs mid","myo-CAFs cell","STEAP4",3.77e-83,2.010862903,0.355,0.037,6.42e-79,"UP",FALSE,TRUE
"974","Bladder","old vs mid","myo-CAFs cell","PHLDA1",5.3e-83,1.458909047,0.771,0.41,9.03e-79,"UP",FALSE,FALSE
"975","Bladder","old vs mid","myo-CAFs cell","MAP3K7CL",9.91e-79,1.18157041,0.437,0.081,1.69e-74,"UP",FALSE,TRUE
"976","Bladder","old vs mid","myo-CAFs cell","HERPUD1",2.1e-78,1.032357283,0.68,0.285,3.57e-74,"UP",FALSE,FALSE
"977","Bladder","old vs mid","myo-CAFs cell","ID3",8.37e-78,1.275839066,0.855,0.522,1.43e-73,"UP",FALSE,FALSE
"978","Bladder","old vs mid","myo-CAFs cell","COL6A3",1.48e-77,-1.142270283,0.165,0.488,2.53e-73,"DOWN",FALSE,FALSE
"979","Bladder","old vs mid","myo-CAFs cell","EGR1",1.52e-77,1.146737867,0.91,0.684,2.6e-73,"UP",FALSE,FALSE
"980","Bladder","old vs mid","myo-CAFs cell","SERPING1",3.05e-77,1.174823465,0.699,0.313,5.19e-73,"UP",FALSE,FALSE
"981","Bladder","old vs mid","myo-CAFs cell","FILIP1",9.35e-75,-1.063709541,0.299,0.535,1.59e-70,"DOWN",FALSE,TRUE
"982","Bladder","old vs mid","myo-CAFs cell","PTGS2",8.91e-74,-1.211945013,0.087,0.348,1.52e-69,"DOWN",FALSE,FALSE
"983","Bladder","old vs mid","myo-CAFs cell","IRF1",9.22e-74,1.163804223,0.784,0.454,1.57e-69,"UP",FALSE,FALSE
"984","Bladder","old vs mid","myo-CAFs cell","MT1X",3.35e-73,1.884300032,0.728,0.37,5.72e-69,"UP",FALSE,FALSE
"985","Bladder","old vs mid","myo-CAFs cell","SPARC",2.38e-72,-1.335136504,0.731,0.767,4.05e-68,"DOWN",FALSE,FALSE
"986","Bladder","old vs mid","myo-CAFs cell","FABP5",4.07e-66,-1.518451209,0.302,0.343,6.94e-62,"DOWN",FALSE,FALSE
"987","Bladder","old vs mid","myo-CAFs cell","NFKBIZ",6.47e-66,1.196891702,0.625,0.298,1.1e-61,"UP",FALSE,FALSE
"988","Bladder","old vs mid","myo-CAFs cell","CXCL2",2.23e-65,2.101902507,0.523,0.18,3.81e-61,"UP",FALSE,FALSE
"989","Bladder","old vs mid","myo-CAFs cell","TSC22D3",2.94e-65,1.059063352,0.588,0.235,5.01e-61,"UP",FALSE,FALSE
"990","Bladder","old vs mid","myo-CAFs cell","KRT13",6.66e-64,-1.541238597,0.103,0.304,1.13e-59,"DOWN",FALSE,FALSE
"991","Bladder","old vs mid","myo-CAFs cell","ICAM1",3.28e-62,1.185516084,0.404,0.093,5.59e-58,"UP",FALSE,FALSE
"992","Bladder","old vs mid","myo-CAFs cell","FXYD3",7.12e-62,-1.189693394,0.119,0.278,1.21e-57,"DOWN",FALSE,FALSE
"993","Bladder","old vs mid","myo-CAFs cell","KRT17",8.99e-59,-1.712708709,0.25,0.393,1.53e-54,"DOWN",FALSE,FALSE
"994","Bladder","old vs mid","myo-CAFs cell","GEM",4.53e-58,1.258875402,0.743,0.459,7.73e-54,"UP",FALSE,TRUE
"995","Bladder","old vs mid","myo-CAFs cell","MYL9",2.36e-57,-1.039992109,0.991,0.986,4.03e-53,"DOWN",FALSE,TRUE
"996","Bladder","old vs mid","myo-CAFs cell","LY6D",2.32e-56,-1.729134416,0.105,0.28,3.95e-52,"DOWN",FALSE,FALSE
"997","Bladder","old vs mid","myo-CAFs cell","TACSTD2",9.71e-56,-1.183414413,0.1,0.274,1.66e-51,"DOWN",FALSE,FALSE
"998","Bladder","old vs mid","myo-CAFs cell","AGR2",4.53e-53,-1.05504837,0.058,0.236,7.72e-49,"DOWN",FALSE,FALSE
"999","Bladder","old vs mid","myo-CAFs cell","FABP4",3.95e-51,-1.284489611,0.505,0.409,6.73e-47,"DOWN",FALSE,FALSE
"1000","Bladder","old vs mid","myo-CAFs cell","WFDC2",7.34e-51,-1.038294355,0.142,0.374,1.25e-46,"DOWN",FALSE,FALSE
"1001","Bladder","old vs mid","myo-CAFs cell","MT1G",8.47e-50,1.126648298,0.248,0.028,1.44e-45,"UP",FALSE,FALSE
"1002","Bladder","old vs mid","myo-CAFs cell","SFN",3.67e-49,-1.025914857,0.059,0.222,6.26e-45,"DOWN",FALSE,FALSE
"1003","Bladder","old vs mid","myo-CAFs cell","HSPA1B",2.07e-48,1.065990833,0.627,0.321,3.53e-44,"UP",FALSE,FALSE
"1004","Bladder","old vs mid","myo-CAFs cell","SPINK1",4.51e-47,-1.726935418,0.069,0.25,7.7e-43,"DOWN",FALSE,FALSE
"1005","Bladder","old vs mid","myo-CAFs cell","APOE",1.96e-45,1.998175922,0.345,0.094,3.34e-41,"UP",FALSE,TRUE
"1006","Bladder","old vs mid","myo-CAFs cell","FGF7",5.76e-35,1.904963955,0.34,0.206,9.81e-31,"UP",FALSE,FALSE
"1007","Bladder","old vs mid","myo-CAFs cell","MFAP5",1.47e-34,-1.104870269,0.006,0.101,2.5e-30,"DOWN",FALSE,FALSE
"1008","Bladder","old vs mid","myo-CAFs cell","CCL8",6.6e-32,1.223143168,0.179,0.024,1.13e-27,"UP",FALSE,FALSE
"1009","Bladder","old vs mid","myo-CAFs cell","CXCL8",3.21e-31,-1.139458212,0.26,0.375,5.47e-27,"DOWN",FALSE,FALSE
"1010","Bladder","old vs mid","myo-CAFs cell","CCL20",4.79e-29,-1.098731464,0.027,0.139,8.17e-25,"DOWN",FALSE,FALSE
"1011","Bladder","old vs mid","myo-CAFs cell","LUM",7.87e-27,-1.212492287,0.216,0.227,1.34e-22,"DOWN",FALSE,FALSE
"1012","Bladder","old vs mid","myo-CAFs cell","IGFBP2",8.09e-25,1.10122873,0.47,0.281,1.38e-20,"UP",FALSE,FALSE
"1013","Bladder","old vs mid","myo-CAFs cell","TIMP1",1.57e-19,-1.090902673,0.84,0.773,2.67e-15,"DOWN",FALSE,FALSE
"1014","Bladder","old vs mid","myo-CAFs cell","CCL19",3.04e-07,1.223537922,0.101,0.04,0.005183428,"UP",FALSE,TRUE
"1015","Bladder","old vs mid","T cell","AGR2",0,-3.030029453,0.043,0.872,0,"DOWN",FALSE,FALSE
"1016","Bladder","old vs mid","T cell","CD9",0,-3.135104959,0.124,0.894,0,"DOWN",FALSE,FALSE
"1017","Bladder","old vs mid","T cell","CSTB",0,-2.746045032,0.346,0.912,0,"DOWN",FALSE,FALSE
"1018","Bladder","old vs mid","T cell","FABP4",0,-5.110641028,0.068,0.865,0,"DOWN",FALSE,FALSE
"1019","Bladder","old vs mid","T cell","FXYD3",0,-3.162265836,0.094,0.893,0,"DOWN",FALSE,FALSE
"1020","Bladder","old vs mid","T cell","GPX2",0,-2.753220381,0.041,0.792,0,"DOWN",FALSE,FALSE
"1021","Bladder","old vs mid","T cell","GSTP1",0,-2.298426639,0.386,0.95,0,"DOWN",FALSE,FALSE
"1022","Bladder","old vs mid","T cell","IGFBP2",0,-2.406451234,0.039,0.746,0,"DOWN",FALSE,FALSE
"1023","Bladder","old vs mid","T cell","KRT13",0,-3.703212584,0.081,0.846,0,"DOWN",FALSE,FALSE
"1024","Bladder","old vs mid","T cell","KRT17",0,-3.765689879,0.256,0.878,0,"DOWN",FALSE,FALSE
"1025","Bladder","old vs mid","T cell","LY6D",0,-4.318041731,0.084,0.834,0,"DOWN",FALSE,FALSE
"1026","Bladder","old vs mid","T cell","MGST1",0,-2.618661157,0.022,0.774,0,"DOWN",FALSE,FALSE
"1027","Bladder","old vs mid","T cell","MT-ATP6",0,-1.804561224,0.971,1,0,"DOWN",FALSE,FALSE
"1028","Bladder","old vs mid","T cell","MT-CO2",0,-2.08359263,0.991,1,0,"DOWN",FALSE,FALSE
"1029","Bladder","old vs mid","T cell","MT-CO3",0,-1.667471372,0.995,1,0,"DOWN",FALSE,FALSE
"1030","Bladder","old vs mid","T cell","MT-CYB",0,-1.864338911,0.966,1,0,"DOWN",FALSE,FALSE
"1031","Bladder","old vs mid","T cell","MT-ND1",0,-1.805732448,0.934,0.998,0,"DOWN",FALSE,FALSE
"1032","Bladder","old vs mid","T cell","MT-ND3",0,-1.649836687,0.944,1,0,"DOWN",FALSE,FALSE
"1033","Bladder","old vs mid","T cell","MT-ND4",0,-2.154432886,0.981,1,0,"DOWN",FALSE,FALSE
"1034","Bladder","old vs mid","T cell","PHLDA2",0,-3.206117724,0.162,0.85,0,"DOWN",FALSE,FALSE
"1035","Bladder","old vs mid","T cell","S100A11",0,-3.234787626,0.533,0.961,0,"DOWN",FALSE,FALSE
"1036","Bladder","old vs mid","T cell","S100P",0,-4.729027219,0.243,0.92,0,"DOWN",FALSE,FALSE
"1037","Bladder","old vs mid","T cell","SNCG",0,-3.060809017,0.053,0.852,0,"DOWN",FALSE,FALSE
"1038","Bladder","old vs mid","T cell","SRGN",0,3.6730339,0.978,0.221,0,"UP",FALSE,FALSE
"1039","Bladder","old vs mid","T cell","TACSTD2",0,-3.005051806,0.074,0.876,0,"DOWN",FALSE,FALSE
"1040","Bladder","old vs mid","T cell","UQCRQ",1.1511729548101e-321,-2.141121619,0.404,0.927,1.96298012254219e-317,"DOWN",FALSE,FALSE
"1041","Bladder","old vs mid","T cell","FABP5",1.12350527864299e-320,-2.997320811,0.3,0.899,1.91580120114203e-316,"DOWN",FALSE,FALSE
"1042","Bladder","old vs mid","T cell","KRT8",6.45574923370285e-311,-2.420493071,0.052,0.751,1.1e-306,"DOWN",FALSE,FALSE
"1043","Bladder","old vs mid","T cell","SFN",1.13e-304,-2.826296908,0.042,0.706,1.93e-300,"DOWN",FALSE,FALSE
"1044","Bladder","old vs mid","T cell","AKR1C2",1.97e-304,-2.345511914,0.023,0.668,3.36e-300,"DOWN",FALSE,FALSE
"1045","Bladder","old vs mid","T cell","KRT7",1.69e-292,-2.378943571,0.054,0.722,2.89e-288,"DOWN",FALSE,FALSE
"1046","Bladder","old vs mid","T cell","SPINK1",3.17e-291,-4.043540484,0.072,0.709,5.41e-287,"DOWN",FALSE,FALSE
"1047","Bladder","old vs mid","T cell","CXCR4",1.54e-283,2.933677695,0.85,0.124,2.63e-279,"UP",FALSE,FALSE
"1048","Bladder","old vs mid","T cell","HSPA8",2.38e-282,2.436220697,0.94,0.646,4.06e-278,"UP",FALSE,FALSE
"1049","Bladder","old vs mid","T cell","CRIP1",1.53e-271,3.513399736,0.837,0.218,2.61e-267,"UP",FALSE,FALSE
"1050","Bladder","old vs mid","T cell","GPRC5A",6.86e-271,-2.119664296,0.034,0.652,1.17e-266,"DOWN",FALSE,FALSE
"1051","Bladder","old vs mid","T cell","LAMB3",3.88e-269,-1.87460653,0.017,0.595,6.62e-265,"DOWN",FALSE,FALSE
"1052","Bladder","old vs mid","T cell","IL32",1.29e-264,2.258080669,0.867,0.184,2.2e-260,"UP",FALSE,TRUE
"1053","Bladder","old vs mid","T cell","SPINT2",1.39e-261,-1.998484053,0.073,0.725,2.37e-257,"DOWN",FALSE,FALSE
"1054","Bladder","old vs mid","T cell","KRT18",1.05e-252,-2.169629726,0.068,0.701,1.79e-248,"DOWN",FALSE,FALSE
"1055","Bladder","old vs mid","T cell","FAM3B",1.78e-251,-1.638357084,0.012,0.545,3.03e-247,"DOWN",FALSE,FALSE
"1056","Bladder","old vs mid","T cell","CXCL8",1.54e-246,-3.144204313,0.154,0.751,2.62e-242,"DOWN",FALSE,FALSE
"1057","Bladder","old vs mid","T cell","AKR1C1",2.47e-245,-2.03989839,0.013,0.541,4.21e-241,"DOWN",FALSE,FALSE
"1058","Bladder","old vs mid","T cell","CLDN7",4.38e-244,-1.617671862,0.015,0.548,7.47e-240,"DOWN",FALSE,FALSE
"1059","Bladder","old vs mid","T cell","UBB",3.33e-240,1.799382931,0.974,0.86,5.68e-236,"UP",FALSE,FALSE
"1060","Bladder","old vs mid","T cell","HSP90AA1",1.59e-239,2.75589283,0.966,0.881,2.71e-235,"UP",FALSE,FALSE
"1061","Bladder","old vs mid","T cell","PTPRC",4.17e-239,2.45468232,0.801,0.127,7.11e-235,"UP",FALSE,FALSE
"1062","Bladder","old vs mid","T cell","MPZL2",2.39e-237,-1.580512524,0.03,0.592,4.07e-233,"DOWN",FALSE,FALSE
"1063","Bladder","old vs mid","T cell","CDC42EP5",9.82e-237,-1.591298876,0.016,0.54,1.67e-232,"DOWN",FALSE,FALSE
"1064","Bladder","old vs mid","T cell","CYB5A",2.08e-226,-1.840874567,0.096,0.717,3.55e-222,"DOWN",FALSE,FALSE
"1065","Bladder","old vs mid","T cell","ANXA2",8.73e-212,-1.878545604,0.354,0.891,1.49e-207,"DOWN",FALSE,FALSE
"1066","Bladder","old vs mid","T cell","HSPA1A",4.99e-209,3.971597679,0.771,0.233,8.52e-205,"UP",FALSE,FALSE
"1067","Bladder","old vs mid","T cell","HES4",6.05e-206,-1.955664733,0.134,0.733,1.03e-201,"DOWN",FALSE,FALSE
"1068","Bladder","old vs mid","T cell","DNAJB1",9.04e-204,3.444845824,0.849,0.371,1.54e-199,"UP",FALSE,FALSE
"1069","Bladder","old vs mid","T cell","TXN",1.39e-199,-1.567954826,0.437,0.928,2.37e-195,"DOWN",FALSE,FALSE
"1070","Bladder","old vs mid","T cell","ZFP36",5.73e-199,2.225652368,0.864,0.506,9.78e-195,"UP",FALSE,FALSE
"1071","Bladder","old vs mid","T cell","ARHGDIB",1.59e-195,1.873921179,0.83,0.415,2.71e-191,"UP",FALSE,FALSE
"1072","Bladder","old vs mid","T cell","PERP",6.95e-195,-1.689837088,0.166,0.772,1.19e-190,"DOWN",FALSE,FALSE
"1073","Bladder","old vs mid","T cell","VIM",7.9e-193,2.501042488,0.76,0.167,1.35e-188,"UP",FALSE,FALSE
"1074","Bladder","old vs mid","T cell","CD3D",7.61e-192,2.189227213,0.725,0.112,1.3e-187,"UP",FALSE,TRUE
"1075","Bladder","old vs mid","T cell","TNFRSF12A",1.09e-191,-1.641548492,0.062,0.602,1.87e-187,"DOWN",FALSE,FALSE
"1076","Bladder","old vs mid","T cell","HPGD",2.79e-186,-1.649156635,0.065,0.598,4.76e-182,"DOWN",FALSE,FALSE
"1077","Bladder","old vs mid","T cell","TSC22D3",9.59e-185,2.654901693,0.708,0.13,1.64e-180,"UP",FALSE,FALSE
"1078","Bladder","old vs mid","T cell","IER3",4.87e-183,-2.070115799,0.188,0.725,8.3e-179,"DOWN",FALSE,FALSE
"1079","Bladder","old vs mid","T cell","SAMSN1",8.68e-182,2.383952006,0.63,0.05,1.48e-177,"UP",FALSE,FALSE
"1080","Bladder","old vs mid","T cell","JUNB",2.7e-176,2.15175649,0.926,0.678,4.6e-172,"UP",FALSE,FALSE
"1081","Bladder","old vs mid","T cell","CD52",1.39e-175,1.952745222,0.732,0.133,2.38e-171,"UP",FALSE,FALSE
"1082","Bladder","old vs mid","T cell","CST3",6.35e-170,-1.602463295,0.2,0.758,1.08e-165,"DOWN",FALSE,FALSE
"1083","Bladder","old vs mid","T cell","CST7",1.05e-168,2.533877938,0.637,0.07,1.78e-164,"UP",FALSE,TRUE
"1084","Bladder","old vs mid","T cell","SQSTM1",1.14e-166,-1.632358308,0.49,0.888,1.94e-162,"DOWN",FALSE,FALSE
"1085","Bladder","old vs mid","T cell","MYC",1.01e-165,-1.845292786,0.098,0.615,1.71e-161,"DOWN",FALSE,FALSE
"1086","Bladder","old vs mid","T cell","HSPD1",5.08e-165,2.522663396,0.743,0.433,8.66e-161,"UP",FALSE,FALSE
"1087","Bladder","old vs mid","T cell","DKK1",2.24e-160,-2.02698025,0.017,0.408,3.83e-156,"DOWN",FALSE,FALSE
"1088","Bladder","old vs mid","T cell","JUND",5.8e-158,1.597259402,0.833,0.532,9.88e-154,"UP",FALSE,FALSE
"1089","Bladder","old vs mid","T cell","CD7",2.81e-155,2.360221208,0.613,0.081,4.79e-151,"UP",FALSE,TRUE
"1090","Bladder","old vs mid","T cell","GPR183",6.79e-154,2.500405327,0.614,0.075,1.16e-149,"UP",FALSE,TRUE
"1091","Bladder","old vs mid","T cell","CD3E",3.18e-153,1.878340506,0.618,0.073,5.43e-149,"UP",FALSE,TRUE
"1092","Bladder","old vs mid","T cell","HCST",4.64e-149,1.849546809,0.651,0.102,7.92e-145,"UP",FALSE,TRUE
"1093","Bladder","old vs mid","T cell","CD2",2.98e-145,2.17438592,0.619,0.089,5.09e-141,"UP",FALSE,TRUE
"1094","Bladder","old vs mid","T cell","PTGS2",5.23e-143,-1.77814173,0.042,0.457,8.92e-139,"DOWN",FALSE,FALSE
"1095","Bladder","old vs mid","T cell","CD69",5.86e-142,2.322032421,0.617,0.089,1e-137,"UP",FALSE,FALSE
"1096","Bladder","old vs mid","T cell","HMGA1",1.29e-140,-1.591130492,0.163,0.662,2.19e-136,"DOWN",FALSE,FALSE
"1097","Bladder","old vs mid","T cell","IFITM2",1.07e-139,1.955837939,0.649,0.145,1.83e-135,"UP",FALSE,FALSE
"1098","Bladder","old vs mid","T cell","CD37",2.18e-134,1.747242742,0.568,0.07,3.71e-130,"UP",FALSE,FALSE
"1099","Bladder","old vs mid","T cell","CYTIP",6.94e-133,1.938547966,0.522,0.042,1.18e-128,"UP",FALSE,TRUE
"1100","Bladder","old vs mid","T cell","ZFP36L2",4.56e-130,1.897752942,0.742,0.389,7.78e-126,"UP",FALSE,FALSE
"1101","Bladder","old vs mid","T cell","FYN",3.72e-124,1.791356939,0.519,0.067,6.34e-120,"UP",FALSE,TRUE
"1102","Bladder","old vs mid","T cell","RGCC",4.22e-123,2.093533159,0.73,0.382,7.2e-119,"UP",FALSE,FALSE
"1103","Bladder","old vs mid","T cell","HES1",1.32e-121,-2.099670398,0.066,0.459,2.25e-117,"DOWN",FALSE,FALSE
"1104","Bladder","old vs mid","T cell","RGS1",9.79e-121,2.5231252,0.555,0.088,1.67e-116,"UP",FALSE,FALSE
"1105","Bladder","old vs mid","T cell","LAPTM5",5.8e-120,1.708551547,0.552,0.096,9.9e-116,"UP",FALSE,FALSE
"1106","Bladder","old vs mid","T cell","CD53",3.2e-118,1.697196753,0.491,0.046,5.46e-114,"UP",FALSE,TRUE
"1107","Bladder","old vs mid","T cell","MT2A",1.34e-112,3.056858942,0.653,0.278,2.28e-108,"UP",FALSE,FALSE
"1108","Bladder","old vs mid","T cell","SLC2A3",1.4e-111,1.866578829,0.502,0.075,2.38e-107,"UP",FALSE,FALSE
"1109","Bladder","old vs mid","T cell","ID1",1.81e-111,-1.923601401,0.108,0.507,3.08e-107,"DOWN",FALSE,FALSE
"1110","Bladder","old vs mid","T cell","DUSP2",2.21e-111,1.877801769,0.701,0.337,3.77e-107,"UP",FALSE,TRUE
"1111","Bladder","old vs mid","T cell","MMP1",3.28e-107,-1.829561849,0.006,0.257,5.6e-103,"DOWN",TRUE,FALSE
"1112","Bladder","old vs mid","T cell","DOK2",1.83e-106,1.812623502,0.415,0.02,3.12e-102,"UP",FALSE,TRUE
"1113","Bladder","old vs mid","T cell","IL7R",6.51e-106,2.029027498,0.506,0.075,1.11e-101,"UP",FALSE,TRUE
"1114","Bladder","old vs mid","T cell","CLEC2D",5.88e-104,1.720398197,0.499,0.089,1e-99,"UP",FALSE,TRUE
"1115","Bladder","old vs mid","T cell","ITM2A",6.24e-104,1.856623517,0.484,0.08,1.06e-99,"UP",FALSE,FALSE
"1116","Bladder","old vs mid","T cell","HSPA1B",8.7e-98,2.766183233,0.54,0.208,1.48e-93,"UP",FALSE,FALSE
"1117","Bladder","old vs mid","T cell","MT1X",9.69e-98,2.329893864,0.556,0.137,1.65e-93,"UP",FALSE,FALSE
"1118","Bladder","old vs mid","T cell","FOS",4.88e-97,1.641746172,0.822,0.485,8.32e-93,"UP",FALSE,FALSE
"1119","Bladder","old vs mid","T cell","HMGB2",7.76e-94,1.569034973,0.544,0.184,1.32e-89,"UP",FALSE,FALSE
"1120","Bladder","old vs mid","T cell","NKG7",1.93e-91,2.255188288,0.453,0.059,3.29e-87,"UP",FALSE,TRUE
"1121","Bladder","old vs mid","T cell","GDF15",4.47e-90,-1.577387297,0.068,0.397,7.63e-86,"DOWN",FALSE,FALSE
