"Tissue","group","cell_type","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","isTissuespecific","isCellTypespecific"
"45","Bladder","old vs mid","Basal cell","KRT7",9.13e-39,-1.873966249,0.073,0.407,1.56e-34,"DOWN",FALSE,FALSE
"46","Bladder","old vs mid","Basal cell","MT-CO1",1.4e-38,-1.623002606,1,1,2.39e-34,"DOWN",FALSE,FALSE
"47","Bladder","old vs mid","Basal cell","KRT18",3.7e-37,-1.550800789,0.144,0.4,6.31e-33,"DOWN",FALSE,FALSE
"48","Bladder","old vs mid","Basal cell","AKR1C2",3.73e-36,-1.51173418,0.049,0.373,6.36e-32,"DOWN",FALSE,FALSE
"49","Bladder","old vs mid","Basal cell","MT-CO3",4.92e-36,-1.610167084,0.992,1,8.39e-32,"DOWN",FALSE,FALSE
"50","Bladder","old vs mid","Basal cell","ANXA1",9.63e-35,-1.855283981,0.252,0.593,1.64e-30,"DOWN",FALSE,TRUE
"51","Bladder","old vs mid","Basal cell","CYP3A5",1.13e-34,-1.257423909,0.016,0.327,1.93e-30,"DOWN",FALSE,FALSE
"52","Bladder","old vs mid","Basal cell","AKR1C1",1.4e-34,-1.229301993,0.025,0.32,2.39e-30,"DOWN",FALSE,FALSE
"53","Bladder","old vs mid","Basal cell","MT-ND3",4.15e-34,-1.410813683,0.954,1,7.08e-30,"DOWN",FALSE,FALSE
"54","Bladder","old vs mid","Basal cell","HPGD",7.24e-34,-1.623738752,0.063,0.367,1.24e-29,"DOWN",FALSE,FALSE
"55","Bladder","old vs mid","Basal cell","MPZL2",8.12e-33,-1.232915731,0.048,0.367,1.38e-28,"DOWN",FALSE,FALSE
"56","Bladder","old vs mid","Basal cell","TSPO",1.4e-31,-1.209233423,0.364,0.58,2.39e-27,"DOWN",FALSE,TRUE
"57","Bladder","old vs mid","Basal cell","IGFBP2",2.98e-31,-1.410755273,0.073,0.38,5.08e-27,"DOWN",FALSE,FALSE
"58","Bladder","old vs mid","Basal cell","PHLDA1",4.63e-31,-1.539000203,0.229,0.427,7.9e-27,"DOWN",FALSE,FALSE
"59","Bladder","old vs mid","Basal cell","CRIP1",2.55e-30,2.305558585,0.785,0.32,4.35e-26,"UP",FALSE,FALSE
"60","Bladder","old vs mid","Basal cell","PTGS2",2.6e-30,-1.316846318,0.085,0.367,4.43e-26,"DOWN",FALSE,FALSE
"61","Bladder","old vs mid","Basal cell","TNFRSF12A",3.45e-30,-1.169719595,0.09,0.34,5.89e-26,"DOWN",FALSE,FALSE
"62","Bladder","old vs mid","Basal cell","KLF2",3.93e-30,1.571225358,0.608,0.12,6.7e-26,"UP",FALSE,FALSE
"63","Bladder","old vs mid","Basal cell","HSPD1",4.29e-30,1.974157954,0.774,0.333,7.32e-26,"UP",FALSE,FALSE
"64","Bladder","old vs mid","Basal cell","SQSTM1",6.91e-30,-1.286079728,0.693,0.667,1.18e-25,"DOWN",FALSE,FALSE
